Time,Device,IP Address,Length
17:00:01,ipad,192.168.239.7,972
17:00:11,ipad,192.168.239.7,1913
17:00:16,ipad,192.168.239.7,435
17:00:19,ipad,192.168.239.7,2960
17:00:28,ipad,192.168.239.7,3861
17:00:37,ipad,192.168.239.7,1864
17:00:38,ipad,192.168.239.7,2079
17:00:41,ipad,192.168.239.7,1200
17:00:47,ipad,192.168.239.7,1693
17:00:50,ipad,192.168.239.7,3691
17:00:53,ipad,192.168.239.7,2426
17:00:54,ipad,192.168.239.7,1572
17:00:58,ipad,192.168.239.7,362
17:00:59,ipad,192.168.239.7,2410
17:01:02,ipad,192.168.239.7,3942
17:01:09,ipad,192.168.239.7,2247
17:01:13,ipad,192.168.239.7,3766
17:01:16,ipad,192.168.239.7,1805
17:01:18,ipad,192.168.239.7,2819
17:01:21,ipad,192.168.239.7,2280
17:01:24,ipad,192.168.239.7,3392
17:01:25,ipad,192.168.239.7,757
17:01:26,ipad,192.168.239.7,588
17:01:29,ipad,192.168.239.7,3350
17:01:30,ipad,192.168.239.7,920
17:01:39,ipad,192.168.239.7,3944
17:01:41,ipad,192.168.239.7,3879
17:01:42,ipad,192.168.239.7,2931
17:01:46,ipad,192.168.239.7,3267
17:01:56,ipad,192.168.239.7,638
17:02:00,ipad,192.168.239.7,956
17:02:03,ipad,192.168.239.7,3172
17:02:17,ipad,192.168.239.7,405
17:02:19,ipad,192.168.239.7,839
17:02:20,ipad,192.168.239.7,839
17:02:21,ipad,192.168.239.7,2943
17:02:24,ipad,192.168.239.7,2912
17:02:25,ipad,192.168.239.7,2779
17:02:26,ipad,192.168.239.7,549
17:02:39,ipad,192.168.239.7,3998
17:02:43,ipad,192.168.239.7,2737
17:02:47,ipad,192.168.239.7,3048
17:02:49,ipad,192.168.239.7,3381
17:02:50,ipad,192.168.239.7,575
17:02:52,ipad,192.168.239.7,3701
17:03:01,ipad,192.168.239.7,855
17:03:06,ipad,192.168.239.7,3874
17:03:07,ipad,192.168.239.7,2910
17:03:11,ipad,192.168.239.7,2520
17:03:12,ipad,192.168.239.7,2977
17:03:16,ipad,192.168.239.7,316
17:03:17,ipad,192.168.239.7,2191
17:03:18,ipad,192.168.239.7,2682
17:03:21,ipad,192.168.239.7,3620
17:03:28,ipad,192.168.239.7,1023
17:03:31,ipad,192.168.239.7,707
17:03:33,ipad,192.168.239.7,1357
17:03:34,ipad,192.168.239.7,1254
17:03:37,ipad,192.168.239.7,3151
17:03:39,ipad,192.168.239.7,3151
