Time,Device,IP Address,Length
17:00:04,ipad,192.168.239.7,1455
17:00:07,ipad,192.168.239.7,3737
17:00:15,ipad,192.168.239.7,3047
17:00:16,ipad,192.168.239.7,2637
17:00:17,ipad,192.168.239.7,1480
17:00:21,ipad,192.168.239.7,2953
17:00:27,ipad,192.168.239.7,1433
17:00:33,ipad,192.168.239.7,1251
17:00:35,ipad,192.168.239.7,3685
17:00:41,ipad,192.168.239.7,1278
17:00:44,ipad,192.168.239.7,305
17:00:45,ipad,192.168.239.7,3673
17:00:46,ipad,192.168.239.7,3659
17:00:49,ipad,192.168.239.7,2847
17:00:56,ipad,192.168.239.7,1360
17:00:58,ipad,192.168.239.7,2257
17:01:03,ipad,192.168.239.7,2635
17:01:07,ipad,192.168.239.7,600
17:01:08,ipad,192.168.239.7,3136
17:01:09,ipad,192.168.239.7,1301
17:01:10,ipad,192.168.239.7,1562
17:01:13,ipad,192.168.239.7,2067
17:01:16,ipad,192.168.239.7,2155
17:01:17,ipad,192.168.239.7,1656
17:01:20,ipad,192.168.239.7,672
17:01:21,ipad,192.168.239.7,1547
17:01:23,ipad,192.168.239.7,2843
17:01:27,ipad,192.168.239.7,1843
17:01:35,ipad,192.168.239.7,2771
17:01:36,ipad,192.168.239.7,2477
17:01:40,ipad,192.168.239.7,565
17:01:47,ipad,192.168.239.7,650
17:01:55,ipad,192.168.239.7,3734
17:01:58,ipad,192.168.239.7,2032
17:02:00,ipad,192.168.239.7,485
17:02:15,ipad,192.168.239.7,1358
17:02:17,ipad,192.168.239.7,1655
17:02:18,ipad,192.168.239.7,3045
17:02:19,ipad,192.168.239.7,1822
17:02:21,ipad,192.168.239.7,3076
17:02:31,ipad,192.168.239.7,2211
17:02:52,ipad,192.168.239.7,1493
17:02:53,ipad,192.168.239.7,1535
17:02:54,ipad,192.168.239.7,2238
17:02:55,ipad,192.168.239.7,3013
17:03:05,ipad,192.168.239.7,539
17:03:06,ipad,192.168.239.7,963
17:03:12,ipad,192.168.239.7,706
17:03:16,ipad,192.168.239.7,3725
17:03:21,ipad,192.168.239.7,3960
17:03:22,ipad,192.168.239.7,3071
17:03:24,ipad,192.168.239.7,3119
17:03:27,ipad,192.168.239.7,523
17:03:28,ipad,192.168.239.7,3051
17:03:30,ipad,192.168.239.7,1286
17:03:35,ipad,192.168.239.7,2399
17:03:40,ipad,192.168.239.7,2452
17:03:45,ipad,192.168.239.7,3240
17:03:48,ipad,192.168.239.7,1712
17:03:49,ipad,192.168.239.7,662
