Time,Device,IP Address,Length
17:00:00,ipad,192.168.239.7,412
17:00:02,ipad,192.168.239.7,1018
17:00:03,ipad,192.168.239.7,2648
17:00:05,ipad,192.168.239.7,2797
17:00:06,ipad,192.168.239.7,2442
17:00:13,ipad,192.168.239.7,3839
17:00:23,ipad,192.168.239.7,1041
17:00:24,ipad,192.168.239.7,3316
17:00:27,ipad,192.168.239.7,640
17:00:36,ipad,192.168.239.7,437
17:00:38,ipad,192.168.239.7,746
17:00:39,ipad,192.168.239.7,2933
17:00:41,ipad,192.168.239.7,2117
17:00:43,ipad,192.168.239.7,1588
17:00:49,ipad,192.168.239.7,3020
17:00:51,ipad,192.168.239.7,2476
17:00:56,ipad,192.168.239.7,1746
17:01:00,ipad,192.168.239.7,1424
17:01:06,ipad,192.168.239.7,3729
17:01:07,ipad,192.168.239.7,3689
17:01:10,ipad,192.168.239.7,2336
17:01:16,ipad,192.168.239.7,2887
17:01:21,ipad,192.168.239.7,2572
17:01:26,ipad,192.168.239.7,1176
17:01:27,ipad,192.168.239.7,2641
17:01:29,ipad,192.168.239.7,549
17:01:42,ipad,192.168.239.7,3998
17:01:46,ipad,192.168.239.7,2737
17:01:50,ipad,192.168.239.7,3048
17:01:52,ipad,192.168.239.7,3381
17:01:53,ipad,192.168.239.7,575
17:01:55,ipad,192.168.239.7,3701
17:02:04,ipad,192.168.239.7,855
17:02:09,ipad,192.168.239.7,3874
17:02:10,ipad,192.168.239.7,2910
17:02:14,ipad,192.168.239.7,2520
17:02:15,ipad,192.168.239.7,2977
17:02:19,ipad,192.168.239.7,316
17:02:20,ipad,192.168.239.7,2191
17:02:21,ipad,192.168.239.7,2682
17:02:24,ipad,192.168.239.7,3620
17:02:31,ipad,192.168.239.7,1023
17:02:34,ipad,192.168.239.7,707
17:02:36,ipad,192.168.239.7,1357
17:02:37,ipad,192.168.239.7,1254
17:02:40,ipad,192.168.239.7,3151
17:02:42,ipad,192.168.239.7,3151
17:02:44,ipad,192.168.239.7,3938
17:02:49,ipad,192.168.239.7,1509
17:02:50,ipad,192.168.239.7,3057
17:02:51,ipad,192.168.239.7,974
17:02:55,ipad,192.168.239.7,3744
17:02:59,ipad,192.168.239.7,2412
17:03:02,ipad,192.168.239.7,738
17:03:04,ipad,192.168.239.7,340
17:03:12,ipad,192.168.239.7,2734
17:03:14,ipad,192.168.239.7,605
17:03:15,ipad,192.168.239.7,702
17:03:17,ipad,192.168.239.7,885
17:03:32,ipad,192.168.239.7,2618
17:03:33,ipad,192.168.239.7,3450
17:03:34,ipad,192.168.239.7,585
17:03:37,ipad,192.168.239.7,2759
17:03:41,ipad,192.168.239.7,1170
17:03:46,ipad,192.168.239.7,1188
17:03:49,ipad,192.168.239.7,1275
17:03:50,ipad,192.168.239.7,1486
17:03:51,ipad,192.168.239.7,768
17:03:54,ipad,192.168.239.7,3427
17:03:56,ipad,192.168.239.7,2712
17:03:57,ipad,192.168.239.7,1379
17:03:58,ipad,192.168.239.7,498
17:04:09,ipad,192.168.239.7,842
17:04:10,ipad,192.168.239.7,725
17:04:11,ipad,192.168.239.7,689
17:04:17,ipad,192.168.239.7,3365
17:04:22,ipad,192.168.239.7,1049
17:04:27,ipad,192.168.239.7,3725
