Time,Device,IP Address,Length
17:00:03,ipad,192.168.239.7,902
17:00:06,ipad,192.168.239.7,1227
17:00:08,ipad,192.168.239.7,3353
17:00:15,ipad,192.168.239.7,2482
17:00:21,ipad,192.168.239.7,3349
17:00:24,ipad,192.168.239.7,1898
17:00:28,ipad,192.168.239.7,3011
17:00:36,ipad,192.168.239.7,876
17:00:38,ipad,192.168.239.7,1820
17:00:45,ipad,192.168.239.7,670
17:00:46,ipad,192.168.239.7,3971
17:00:47,ipad,192.168.239.7,3287
17:00:54,ipad,192.168.239.7,2772
17:00:55,ipad,192.168.239.7,2083
17:00:57,ipad,192.168.239.7,2335
17:01:06,ipad,192.168.239.7,2414
17:01:09,ipad,192.168.239.7,1899
17:01:11,ipad,192.168.239.7,1334
17:01:19,ipad,192.168.239.7,1966
17:01:20,ipad,192.168.239.7,2483
17:01:21,ipad,192.168.239.7,1271
17:01:26,ipad,192.168.239.7,2256
17:01:28,ipad,192.168.239.7,890
17:01:34,ipad,192.168.239.7,3888
17:01:35,ipad,192.168.239.7,986
17:01:46,ipad,192.168.239.7,1531
17:01:50,ipad,192.168.239.7,3183
17:01:54,ipad,192.168.239.7,1187
17:01:59,ipad,192.168.239.7,2665
17:02:00,ipad,192.168.239.7,3618
17:02:10,ipad,192.168.239.7,1122
17:02:19,ipad,192.168.239.7,3911
17:02:23,ipad,192.168.239.7,3814
17:02:26,ipad,192.168.239.7,3252
17:02:35,ipad,192.168.239.7,3841
17:02:37,ipad,192.168.239.7,2816
17:02:39,ipad,192.168.239.7,2027
17:02:40,ipad,192.168.239.7,1591
17:02:56,ipad,192.168.239.7,930
17:03:01,ipad,192.168.239.7,1539
17:03:03,ipad,192.168.239.7,2849
17:03:04,ipad,192.168.239.7,1535
17:03:11,ipad,192.168.239.7,1461
17:03:15,ipad,192.168.239.7,1411
17:03:28,ipad,192.168.239.7,3303
17:03:29,ipad,192.168.239.7,3763
17:03:36,ipad,192.168.239.7,2141
17:03:37,ipad,192.168.239.7,1148
17:03:40,ipad,192.168.239.7,3094
17:03:42,ipad,192.168.239.7,354
17:03:43,ipad,192.168.239.7,520
17:03:45,ipad,192.168.239.7,431
17:03:46,ipad,192.168.239.7,646
17:03:49,ipad,192.168.239.7,2952
17:03:51,ipad,192.168.239.7,646
17:03:55,ipad,192.168.239.7,3369
17:04:06,ipad,192.168.239.7,2907
17:04:12,ipad,192.168.239.7,3575
17:04:17,ipad,192.168.239.7,1218
17:04:21,ipad,192.168.239.7,2312
17:04:28,ipad,192.168.239.7,2743
17:04:30,ipad,192.168.239.7,1955
17:04:31,ipad,192.168.239.7,3034
17:04:32,ipad,192.168.239.7,572
17:04:38,ipad,192.168.239.7,2341
17:04:40,ipad,192.168.239.7,3842
17:04:41,ipad,192.168.239.7,2392
17:04:45,ipad,192.168.239.7,1623
17:04:46,ipad,192.168.239.7,3334
17:04:47,ipad,192.168.239.7,3122
17:04:48,ipad,192.168.239.7,905
17:04:51,ipad,192.168.239.7,1267
17:04:53,ipad,192.168.239.7,3743
17:04:57,ipad,192.168.239.7,3750
17:05:03,ipad,192.168.239.7,3995
17:05:05,ipad,192.168.239.7,2018
17:05:07,ipad,192.168.239.7,3667
17:05:13,ipad,192.168.239.7,1639
17:05:16,ipad,192.168.239.7,1525
17:05:18,ipad,192.168.239.7,2186
17:05:20,ipad,192.168.239.7,2226
17:05:27,ipad,192.168.239.7,699
17:05:28,ipad,192.168.239.7,383
17:05:41,ipad,192.168.239.7,447
17:05:47,ipad,192.168.239.7,2640
17:05:52,ipad,192.168.239.7,2586
17:06:00,ipad,192.168.239.7,2864
17:06:03,ipad,192.168.239.7,1321
17:06:04,ipad,192.168.239.7,2713
17:06:05,ipad,192.168.239.7,3222
17:06:08,ipad,192.168.239.7,2361
17:06:11,ipad,192.168.239.7,3584
17:06:12,ipad,192.168.239.7,2820
17:06:15,ipad,192.168.239.7,861
17:06:18,ipad,192.168.239.7,2825
17:06:20,ipad,192.168.239.7,3502
17:06:23,ipad,192.168.239.7,367
17:06:32,ipad,192.168.239.7,2127
17:06:39,ipad,192.168.239.7,2613
17:06:40,ipad,192.168.239.7,3124
17:06:44,ipad,192.168.239.7,1049
17:06:49,ipad,192.168.239.7,3725
17:06:55,ipad,192.168.239.7,1922
17:07:02,ipad,192.168.239.7,2422
17:07:03,ipad,192.168.239.7,1534
17:07:04,ipad,192.168.239.7,485
17:07:06,ipad,192.168.239.7,383
17:07:10,ipad,192.168.239.7,3938
17:07:14,ipad,192.168.239.7,2070
17:07:17,ipad,192.168.239.7,1507
17:07:22,ipad,192.168.239.7,677
17:07:26,ipad,192.168.239.7,2275
17:07:40,ipad,192.168.239.7,3103
17:07:41,ipad,192.168.239.7,3564
17:07:52,ipad,192.168.239.7,3626
17:07:55,ipad,192.168.239.7,3293
17:07:58,ipad,192.168.239.7,891
17:08:00,ipad,192.168.239.7,2440
17:08:10,ipad,192.168.239.7,3775
17:08:14,ipad,192.168.239.7,3684
17:08:24,ipad,192.168.239.7,2644
17:08:25,ipad,192.168.239.7,735
17:08:28,ipad,192.168.239.7,2219
17:08:29,ipad,192.168.239.7,2041
17:08:42,ipad,192.168.239.7,870
17:08:45,ipad,192.168.239.7,3192
17:08:49,ipad,192.168.239.7,555
17:08:50,ipad,192.168.239.7,2585
17:08:54,ipad,192.168.239.7,2927
17:09:03,ipad,192.168.239.7,3634
17:09:08,ipad,192.168.239.7,559
17:09:11,ipad,192.168.239.7,1053
17:09:14,ipad,192.168.239.7,1106
17:09:15,ipad,192.168.239.7,3630
17:09:17,ipad,192.168.239.7,3380
17:09:21,ipad,192.168.239.7,1569
17:09:26,ipad,192.168.239.7,3105
17:09:28,ipad,192.168.239.7,1092
17:09:30,ipad,192.168.239.7,3305
17:09:31,ipad,192.168.239.7,1978
17:09:35,ipad,192.168.239.7,2952
17:09:36,ipad,192.168.239.7,1421
17:09:45,ipad,192.168.239.7,3895
