Time,Device,IP Address,Length
17:00:03,ipad,192.168.239.7,2912
17:00:11,ipad,192.168.239.7,3260
17:00:12,ipad,192.168.239.7,1414
17:00:13,ipad,192.168.239.7,2398
17:00:19,ipad,192.168.239.7,2964
17:00:22,ipad,192.168.239.7,3423
17:00:23,ipad,192.168.239.7,2815
17:00:25,ipad,192.168.239.7,3717
17:00:28,ipad,192.168.239.7,1587
17:00:30,ipad,192.168.239.7,405
17:00:31,ipad,192.168.239.7,3320
17:00:34,ipad,192.168.239.7,1801
17:00:35,ipad,192.168.239.7,3056
17:00:43,ipad,192.168.239.7,611
17:00:45,ipad,192.168.239.7,3588
17:00:51,ipad,192.168.239.7,708
17:00:54,ipad,192.168.239.7,1387
17:01:06,ipad,192.168.239.7,3470
17:01:09,ipad,192.168.239.7,2682
17:01:11,ipad,192.168.239.7,2732
17:01:12,ipad,192.168.239.7,2896
17:01:14,ipad,192.168.239.7,472
17:01:24,ipad,192.168.239.7,3696
17:01:28,ipad,192.168.239.7,3499
17:01:29,ipad,192.168.239.7,2207
17:01:30,ipad,192.168.239.7,2651
17:01:34,ipad,192.168.239.7,395
17:01:35,ipad,192.168.239.7,860
17:01:36,ipad,192.168.239.7,3216
17:01:39,ipad,192.168.239.7,1715
17:01:40,ipad,192.168.239.7,550
17:01:41,ipad,192.168.239.7,2385
17:01:56,ipad,192.168.239.7,656
17:01:58,ipad,192.168.239.7,706
17:02:02,ipad,192.168.239.7,1992
17:02:08,ipad,192.168.239.7,1840
17:02:16,ipad,192.168.239.7,1312
17:02:20,ipad,192.168.239.7,3673
17:02:21,ipad,192.168.239.7,3659
17:02:24,ipad,192.168.239.7,2847
17:02:31,ipad,192.168.239.7,1360
17:02:33,ipad,192.168.239.7,2257
17:02:38,ipad,192.168.239.7,2635
17:02:42,ipad,192.168.239.7,600
17:02:43,ipad,192.168.239.7,3136
17:02:44,ipad,192.168.239.7,1301
17:02:45,ipad,192.168.239.7,1562
17:02:48,ipad,192.168.239.7,2067
17:02:51,ipad,192.168.239.7,2155
17:02:52,ipad,192.168.239.7,1656
17:02:55,ipad,192.168.239.7,672
17:02:56,ipad,192.168.239.7,1547
17:02:58,ipad,192.168.239.7,2843
17:03:02,ipad,192.168.239.7,1843
17:03:10,ipad,192.168.239.7,2771
17:03:11,ipad,192.168.239.7,2477
17:03:15,ipad,192.168.239.7,565
17:03:22,ipad,192.168.239.7,650
17:03:30,ipad,192.168.239.7,3734
17:03:33,ipad,192.168.239.7,2032
17:03:35,ipad,192.168.239.7,485
17:03:50,ipad,192.168.239.7,1358
17:03:52,ipad,192.168.239.7,1655
17:03:53,ipad,192.168.239.7,3045
17:03:54,ipad,192.168.239.7,1822
17:03:56,ipad,192.168.239.7,3076
17:04:06,ipad,192.168.239.7,2211
17:04:27,ipad,192.168.239.7,1493
17:04:28,ipad,192.168.239.7,1535
17:04:29,ipad,192.168.239.7,2238
17:04:30,ipad,192.168.239.7,3013
17:04:40,ipad,192.168.239.7,539
